Real – mixed – standard,Real – mixed – queues 16 to 8,Real – mixed – quantom 200 to 1000,Real – mixed – timout 5 to 20
62,62,52,62
62,61,55,61
59,59,55,61
62,61,53,61
61,62,53,61
59,61,53,61
61,61,52,61
61,59,55,61
60,62,55,61
62,60,53,61
,,,
System – mixed – standard,System – mixed – queues 16 to 8,System – mixed – quantom 200 to 1000,System – mixed – timeout 5 to 20
518,547,513,561
523,509,544,552
502,518,545,554
517,495,508,554
519,517,484,559
508,516,540,553
509,492,483,566
505,533,536,567
521,526,536,547
526,500,484,546
,,,
User – mixed – standard,User – mixed – queues 16 to 8,User – mixed – quantom 200 to 1000,User – mixed – timeout 5 to 20
709,685,695,691
705,703,693,696
704,690,687,690
708,718,700,698
703,706,715,692
711,697,696,700
716,715,702,687
705,680,673,678
705,690,703,699
700,697,690,701
